id;nombre;apellido;direccion;telefono;email;fecha_nacimiento;sexo;grupo_sanguineo;factor_sanguineo;activo
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Anabelle_Wisozk93@gmail.com;2019-05-20T10:22:04;Chips;Money Market Account;Albania web-readiness;false
2;Investment Account Steel;Coordinator;Common;Savings Account syndicate Planner;Alyce_Stokes@yahoo.com;2019-05-20T11:22:17;Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;false
3;Buckinghamshire Games;incentivize Tuna copy;Costa Rica Mayotte;Industrial;Opal.Kirlin89@hotmail.com;2019-05-19T17:13:28;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;true
4;Specialist Home Loan Account;Plastic;Car Industrial deliverables;orange Books;Cloyd_Quigley79@hotmail.com;2019-05-19T20:57:13;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;moratorium moratorium;true
5;withdrawal COM;embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;Bernadette89@yahoo.com;2019-05-20T00:11:25;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric;false
6;neutral Salad;Auto Loan Account modular Refined;digital maroon;EXE projection Fresh;Emilio27@yahoo.com;2019-05-20T09:59:37;synergies copying;ability Hat Iraq;magenta Concrete;false
7;Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;Elise99@hotmail.com;2019-05-20T14:34:43;Personal Loan Account;paradigms Home;Investor Public-key;false
8;Berkshire Designer;Credit Card Account;navigate;Re-contextualized;Fredy_Koss@hotmail.com;2019-05-20T00:15:34;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;true
9;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Kaylah.Larkin@hotmail.com;2019-05-20T09:39:34;Tasty Customer Human;pink even-keeled;bus Internal AI;true
10;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;Dana.Dare23@hotmail.com;2019-05-20T03:36:38;Fish;payment calculating;local area network Benin;true
